"REF_DATE","GEO","DGUID","Sex","Age group","Persons with income","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2007","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $75,000 and over","Number","223","units","0","v20796022","16.1.1.10","1134570","","","","0"
"2008","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $75,000 and over","Number","223","units","0","v20796022","16.1.1.10","1225130","","","","0"
"2009","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $75,000 and over","Number","223","units","0","v20796022","16.1.1.10","1231850","","","","0"
"2010","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $75,000 and over","Number","223","units","0","v20796022","16.1.1.10","1305780","","","","0"
"2011","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $75,000 and over","Number","223","units","0","v20796022","16.1.1.10","1404030","","","","0"
"2012","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $75,000 and over","Number","223","units","0","v20796022","16.1.1.10","1487700","","","","0"
"2013","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $75,000 and over","Number","223","units","0","v20796022","16.1.1.10","1574090","","","","0"
"2014","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $75,000 and over","Number","223","units","0","v20796022","16.1.1.10","1668890","","","","0"
"2015","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $75,000 and over","Number","223","units","0","v20796022","16.1.1.10","1771250","","","","0"
"2016","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $75,000 and over","Number","223","units","0","v20796022","16.1.1.10","1841800","","","","0"
"2017","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $75,000 and over","Number","223","units","0","v20796022","16.1.1.10","1988610","","","","0"
"2018","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $75,000 and over","Number","223","units","0","v20796022","16.1.1.10","2116290","","","","0"
"2019","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $75,000 and over","Number","223","units","0","v20796022","16.1.1.10","2247440","","","","0"
"2020","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $75,000 and over","Number","223","units","0","v20796022","16.1.1.10","2422640","","","","0"
"2021","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $75,000 and over","Number","223","units","0","v20796022","16.1.1.10","2618840","","","","0"
"2001","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $100,000 and over","Number","223","units","0","v20796023","16.1.1.11","302020","","","","0"
"2002","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $100,000 and over","Number","223","units","0","v20796023","16.1.1.11","317190","","","","0"
"2003","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $100,000 and over","Number","223","units","0","v20796023","16.1.1.11","339200","","","","0"
"2004","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $100,000 and over","Number","223","units","0","v20796023","16.1.1.11","373520","","","","0"
"2005","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $100,000 and over","Number","223","units","0","v20796023","16.1.1.11","410840","","","","0"
"2006","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $100,000 and over","Number","223","units","0","v20796023","16.1.1.11","461670","","","","0"
"2007","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $100,000 and over","Number","223","units","0","v20796023","16.1.1.11","520970","","","","0"
"2008","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $100,000 and over","Number","223","units","0","v20796023","16.1.1.11","565070","","","","0"
"2009","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $100,000 and over","Number","223","units","0","v20796023","16.1.1.11","566380","","","","0"
"2010","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $100,000 and over","Number","223","units","0","v20796023","16.1.1.11","602790","","","","0"
"2011","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $100,000 and over","Number","223","units","0","v20796023","16.1.1.11","658520","","","","0"
"2012","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $100,000 and over","Number","223","units","0","v20796023","16.1.1.11","707620","","","","0"
"2013","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $100,000 and over","Number","223","units","0","v20796023","16.1.1.11","766990","","","","0"
"2014","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $100,000 and over","Number","223","units","0","v20796023","16.1.1.11","819960","","","","0"
"2015","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $100,000 and over","Number","223","units","0","v20796023","16.1.1.11","886190","","","","0"
"2016","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $100,000 and over","Number","223","units","0","v20796023","16.1.1.11","927340","","","","0"
"2017","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $100,000 and over","Number","223","units","0","v20796023","16.1.1.11","1024580","","","","0"
"2018","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $100,000 and over","Number","223","units","0","v20796023","16.1.1.11","1116820","","","","0"
"2019","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $100,000 and over","Number","223","units","0","v20796023","16.1.1.11","1214300","","","","0"
"2020","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $100,000 and over","Number","223","units","0","v20796023","16.1.1.11","1319270","","","","0"
"2021","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $100,000 and over","Number","223","units","0","v20796023","16.1.1.11","1481280","","","","0"
"2001","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $150,000 and over","Number","223","units","0","v20796024","16.1.1.12","123960","","","","0"
"2002","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $150,000 and over","Number","223","units","0","v20796024","16.1.1.12","125760","","","","0"
"2003","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $150,000 and over","Number","223","units","0","v20796024","16.1.1.12","131110","","","","0"
"2004","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $150,000 and over","Number","223","units","0","v20796024","16.1.1.12","143050","","","","0"
"2005","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $150,000 and over","Number","223","units","0","v20796024","16.1.1.12","154050","","","","0"
"2006","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $150,000 and over","Number","223","units","0","v20796024","16.1.1.12","174200","","","","0"
"2007","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $150,000 and over","Number","223","units","0","v20796024","16.1.1.12","192640","","","","0"
"2008","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $150,000 and over","Number","223","units","0","v20796024","16.1.1.12","205080","","","","0"
"2009","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $150,000 and over","Number","223","units","0","v20796024","16.1.1.12","203170","","","","0"
"2010","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $150,000 and over","Number","223","units","0","v20796024","16.1.1.12","212370","","","","0"
"2011","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $150,000 and over","Number","223","units","0","v20796024","16.1.1.12","231310","","","","0"
"2012","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $150,000 and over","Number","223","units","0","v20796024","16.1.1.12","246520","","","","0"
"2013","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $150,000 and over","Number","223","units","0","v20796024","16.1.1.12","265550","","","","0"
"2014","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $150,000 and over","Number","223","units","0","v20796024","16.1.1.12","278330","","","","0"
"2015","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $150,000 and over","Number","223","units","0","v20796024","16.1.1.12","305590","","","","0"
"2016","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $150,000 and over","Number","223","units","0","v20796024","16.1.1.12","319760","","","","0"
"2017","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $150,000 and over","Number","223","units","0","v20796024","16.1.1.12","354540","","","","0"
"2018","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $150,000 and over","Number","223","units","0","v20796024","16.1.1.12","385010","","","","0"
"2019","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $150,000 and over","Number","223","units","0","v20796024","16.1.1.12","419660","","","","0"
"2020","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $150,000 and over","Number","223","units","0","v20796024","16.1.1.12","452460","","","","0"
"2021","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $150,000 and over","Number","223","units","0","v20796024","16.1.1.12","519810","","","","0"
"2001","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $200,000 and over","Number","223","units","0","v20796025","16.1.1.13","72810","","","","0"
"2002","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $200,000 and over","Number","223","units","0","v20796025","16.1.1.13","73290","","","","0"
"2003","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $200,000 and over","Number","223","units","0","v20796025","16.1.1.13","76020","","","","0"
"2004","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $200,000 and over","Number","223","units","0","v20796025","16.1.1.13","82740","","","","0"
"2005","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $200,000 and over","Number","223","units","0","v20796025","16.1.1.13","89170","","","","0"
"2006","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $200,000 and over","Number","223","units","0","v20796025","16.1.1.13","99560","","","","0"
"2007","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $200,000 and over","Number","223","units","0","v20796025","16.1.1.13","107060","","","","0"
"2008","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $200,000 and over","Number","223","units","0","v20796025","16.1.1.13","111410","","","","0"
"2009","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $200,000 and over","Number","223","units","0","v20796025","16.1.1.13","107690","","","","0"
"2010","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $200,000 and over","Number","223","units","0","v20796025","16.1.1.13","112250","","","","0"
"2011","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $200,000 and over","Number","223","units","0","v20796025","16.1.1.13","122190","","","","0"
"2012","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $200,000 and over","Number","223","units","0","v20796025","16.1.1.13","128140","","","","0"
"2013","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $200,000 and over","Number","223","units","0","v20796025","16.1.1.13","136290","","","","0"
"2014","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $200,000 and over","Number","223","units","0","v20796025","16.1.1.13","141740","","","","0"
"2015","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $200,000 and over","Number","223","units","0","v20796025","16.1.1.13","157450","","","","0"
"2016","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $200,000 and over","Number","223","units","0","v20796025","16.1.1.13","160910","","","","0"
"2017","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $200,000 and over","Number","223","units","0","v20796025","16.1.1.13","178240","","","","0"
"2018","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $200,000 and over","Number","223","units","0","v20796025","16.1.1.13","195960","","","","0"
"2019","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $200,000 and over","Number","223","units","0","v20796025","16.1.1.13","212740","","","","0"
"2020","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $200,000 and over","Number","223","units","0","v20796025","16.1.1.13","226130","","","","0"
"2021","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $200,000 and over","Number","223","units","0","v20796025","16.1.1.13","262320","","","","0"
"2001","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $250,000 and over","Number","223","units","0","v20796026","16.1.1.14","48960","","","","0"
"2002","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $250,000 and over","Number","223","units","0","v20796026","16.1.1.14","49270","","","","0"
"2003","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $250,000 and over","Number","223","units","0","v20796026","16.1.1.14","51140","","","","0"
"2004","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $250,000 and over","Number","223","units","0","v20796026","16.1.1.14","55870","","","","0"
"2005","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $250,000 and over","Number","223","units","0","v20796026","16.1.1.14","59920","","","","0"
"2006","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $250,000 and over","Number","223","units","0","v20796026","16.1.1.14","67020","","","","0"
"2007","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $250,000 and over","Number","223","units","0","v20796026","16.1.1.14","71830","","","","0"
"2008","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $250,000 and over","Number","223","units","0","v20796026","16.1.1.14","73390","","","","0"
"2009","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $250,000 and over","Number","223","units","0","v20796026","16.1.1.14","69790","","","","0"
"2010","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $250,000 and over","Number","223","units","0","v20796026","16.1.1.14","72850","","","","0"
"2011","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $250,000 and over","Number","223","units","0","v20796026","16.1.1.14","78370","","","","0"
"2012","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $250,000 and over","Number","223","units","0","v20796026","16.1.1.14","81210","","","","0"
"2013","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $250,000 and over","Number","223","units","0","v20796026","16.1.1.14","86300","","","","0"
"2014","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $250,000 and over","Number","223","units","0","v20796026","16.1.1.14","88600","","","","0"
"2015","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $250,000 and over","Number","223","units","0","v20796026","16.1.1.14","98750","","","","0"
"2016","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $250,000 and over","Number","223","units","0","v20796026","16.1.1.14","96900","","","","0"
"2017","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $250,000 and over","Number","223","units","0","v20796026","16.1.1.14","107520","","","","0"
"2018","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $250,000 and over","Number","223","units","0","v20796026","16.1.1.14","118840","","","","0"
"2019","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $250,000 and over","Number","223","units","0","v20796026","16.1.1.14","128750","","","","0"
"2020","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $250,000 and over","Number","223","units","0","v20796026","16.1.1.14","136640","","","","0"
"2021","Ontario","2016A000235","Both sexes","All age groups","Persons with income of $250,000 and over","Number","223","units","0","v20796026","16.1.1.14","159620","","","","0"


